Title,Issuer,Date,Description,Image,Link
Introduction to Generative AI,AWS Educate,Aug-25,"Learned basics of Generative AI concepts, applications, and ethical considerations.",images/aws-genai.png,https://www.credly.com/badges/f9df1e12-1c23-4d25-ae4f-b00c07d21f45
Machine Learning Foundations,AWS Educate,Aug-25,Gained foundational knowledge in supervised and unsupervised machine learning algorithms.,images/aws-ml.png,https://www.credly.com/badges/20cd04cb-b90c-425a-9163-776e914997db
Machine Learning Specialization,Google,Jul-25,"Completed Google ML Specialization covering regression, classification, and model deployment.",images/google-ml.png,https://developers.google.com/profile/u/109325807819459980992
Introduction to SQL,Kaggle,Jul-25,"Learned SQL fundamentals including queries, joins, and database management.",images/sql.png,https://www.kaggle.com/learn/certification/okkkokkkk/intro-to-sql
Data Visualization with Python,Tata x IBM,Jul-25,Mastered creating interactive visualizations with Python libraries like Matplotlib and Seaborn.,images/ibm-dataviz.png,https://sb-auth.skillsbuild.org/login?client_id=yl-internal-adopter&learning_path=https:%2F%2Fskills.yourlearning.ibm.com%2Fcertificate%2Fshare%2F0eb8770e83ewogICJvYmplY3RUeXBlIiA6ICJBQ1RJVklUWSIsCiAgImxlYXJuZXJDTlVNIiA6ICI0ODkzNzA2UkVHIiwKICAib2JqZWN0SWQiIDogIlBMQU4tNzkxM0VFMURCMDMwIgp996ba50a8b9-10&redirect_uri=https:%2F%2Fskills.yourlearning.ibm.com%2Foauth%2Fcallback
AI Fundamentals,IBM,Jun-25,"Studied the basics of Artificial Intelligence, including machine learning and natural language processing.",images/ibm-ai.png,https://forage-uploads-prod.s3.amazonaws.com/completion-certificates/ifobHAoMjQs9s6bKS/MyXvBcppsW2FkNYCX_ifobHAoMjQs9s6bKS_DuovSKYuGdupA4AZc_1751480195472_completion_certificate.pdf
Data Analytics Job Simulation,Deloitte (Forage),Jun-25,Completed Deloitte Data Analytics simulation with real-world datasets and business insights.,images/deloitte.png,https://forage-uploads-prod.s3.amazonaws.com/completion-certificates/9PBTqmSxAf6zZTseP/io9DzWKe3PTsiS6GG_9PBTqmSxAf6zZTseP_DuovSKYuGdupA4AZc_1750760953599_completion_certificate.pdf
Machine Learning,Kaggle,Jun-25,"Covered ML fundamentals such as regression, classification, model validation, and overfitting.",images/kaggle-ml.png,https://www.kaggle.com/learn/certification/okkkokkkk/intro-to-machine-learning
Data Analysis with Python,freeCodeCamp,May-25,"Learned data analysis, cleaning, and visualization with Pandas, NumPy, and Matplotlib.",images/fcc.png,https://www.freecodecamp.org/certification/AlishaShaikh/data-analysis-with-python-v7
Co-coordinator & Deputy Certificates,Sasmiraâ€™s Institute of Commerce & Science,2023-2024,"Recognition for leadership roles in Student Council, IT Club, and cultural events.",images/sasmira.png,https://github.com/Alisha-Shaikh98/Resume-certificates
